id,latitude,longitude,district_group,district,price
23879888,37.39103,-5.98513,Casco Antiguo,Santa Catalina,120.0
23889710,37.38724,-5.99962,Casco Antiguo,Arenal,100.0
23896097,37.39751,-5.98964,Casco Antiguo,Feria,114.0
23899784,37.37456,-6.01474,Triana,"El Tardón, El Carmen",50.0
23907078,37.39657,-5.99317,Casco Antiguo,Feria,106.0
23918794,37.38934,-5.98471,Casco Antiguo,San Bartolomé,80.0
23921441,37.39552,-5.99812,Casco Antiguo,San Vicente,103.0
23923581,37.38928,-5.99776,Casco Antiguo,Arenal,70.0
23934155,37.38299,-5.9821,Nervión,San Bernardo,129.0
23934411,37.38842,-5.99175,Casco Antiguo,Santa Cruz,150.0
23942964,37.38616,-5.99664,Casco Antiguo,Arenal,144.0
23943880,37.39851,-5.99047,Casco Antiguo,Feria,106.0
23944334,37.40315,-5.99138,Casco Antiguo,San Gil,95.0
23944817,37.38577,-5.9906,Casco Antiguo,Santa Cruz,374.0
23951322,37.39977395894191,-5.956755461044798,San Pablo - Santa Justa,San Pablo D y E,70.0
23951695,37.3904,-5.98769,Casco Antiguo,San Bartolomé,318.0
23953180,37.38964,-5.99071,Casco Antiguo,Alfalfa,146.0
23959026,37.38827,-6.00108,Casco Antiguo,Museo,135.0
23959065,37.3944,-5.98803,Casco Antiguo,Santa Catalina,189.0
23969899,37.39631,-5.98997,Casco Antiguo,Feria,123.0
23970555,37.39852,-5.9917,Casco Antiguo,Feria,101.0
23970822,37.38931,-5.9847,Casco Antiguo,San Bartolomé,80.0
23970868,37.39794,-5.99165,Casco Antiguo,Feria,95.0
23972728,37.38747,-6.00581,Triana,Triana Casco Antiguo,143.0
23976470,37.38552,-5.98813,Casco Antiguo,Santa Cruz,236.0
23976620,37.39985,-5.98622,Casco Antiguo,San Julián,94.0
23978263,37.39218,-5.98278,Nervión,an Roque,108.0
23983659,37.38472,-5.99704,Casco Antiguo,Arenal,127.0
23985666,37.39815,-5.9915,Casco Antiguo,Feria,127.0
23985899,37.39294,-5.9972,Casco Antiguo,"Encarnación, Regina",221.0
23986974,37.40325,-5.98684,Macarena,"León XIII, Los Naranjos",123.0
24008699,37.40272520073481,-5.991413214339542,Casco Antiguo,San Gil,88.0
24011363,37.38487,-5.99451,Casco Antiguo,Arenal,160.0
24011365,37.38804,-6.00146,Casco Antiguo,Museo,61.0
24026540,37.39995,-5.99211,Casco Antiguo,Feria,86.0
24035145,37.38529,-5.98901,Casco Antiguo,Santa Cruz,351.0
24035284,37.39841,-5.99149,Casco Antiguo,Feria,97.0
24046915,37.39668,-5.99161,Casco Antiguo,Feria,85.0
24060535,37.38667,-5.98638,Casco Antiguo,San Bartolomé,159.0
24063016,37.39644,-5.99129,Casco Antiguo,Feria,115.0
24105129,37.41515,-5.97115,Macarena - Norte,Consolación,65.0
24133720,37.38484,-6.00333,Triana,Triana Casco Antiguo,146.0
24156688,37.39309,-5.98881,Casco Antiguo,"Encarnación, Regina",68.0
24169204,37.39824739562617,-5.942292585968971,Este - Alcosa - Torreblanca,"Palacio Congresos, Urbadiez, Entrepuentes, Jardines del Eden",50.0
24170917,37.38653,-5.9834,Nervión,La Florida,127.0
24173492,37.3885,-5.98553,Casco Antiguo,San Bartolomé,127.0
24203099,37.40253,-5.99194,Casco Antiguo,San Gil,133.0
24206197,37.40253,-5.99194,Casco Antiguo,San Gil,149.0
24244769,37.37847,-5.99963,Los Remedios,Los Remedios,132.0
24258107,37.38561,-5.99744,Casco Antiguo,Arenal,190.0
24265270,37.37758,-5.93342,Cerro - Amate,Palmete,58.0
24280987,37.3833,-5.96156,Nervión,Nervión,31.0
24282255,37.3833,-5.96156,Nervión,Nervión,31.0
24302648,37.38372,-5.9805,Nervión,La Buhaira,103.0
24327603,37.39099,-5.98638,Casco Antiguo,San Bartolomé,80.0
24332276,37.40073,-5.9904,Casco Antiguo,San Gil,66.0
24335943,37.38492,-5.98519,Nervión,San Bernardo,202.0
