listing_id,num_reviews_sampled,avg_sentiment_score,num_reviews_total,sentiment_label
1313371,30,0.8256,214,Positiv
1314735,30,0.7872,116,Positiv
1400991,30,0.8841,538,Positiv
1439591,30,0.802,122,Positiv
1454726,30,0.6313,501,Positiv
1517058,30,0.7876,335,Positiv
1521857,30,0.8211,187,Positiv
1544126,30,0.8338,492,Positiv
1547751,30,0.7471,143,Positiv
1548526,30,0.8137,105,Positiv
1564014,30,0.7228,1047,Positiv
1582326,30,0.7184,507,Positiv
1636053,30,0.9017,362,Positiv
1643282,30,0.5718,374,Positiv
1670966,30,0.8472,157,Positiv
1680385,30,0.8492,316,Positiv
1707432,30,0.7119,228,Positiv
1710486,30,0.737,45,Positiv
1714467,30,0.6304,224,Positiv
1714668,30,0.8231,267,Positiv
1784618,30,0.8657,475,Positiv
1819482,30,0.7965,251,Positiv
1825776,30,0.8096,46,Positiv
1846844,30,0.8574,579,Positiv
1855831,30,0.75,108,Positiv
1871218,30,0.8068,1097,Positiv
1873121,30,0.9085,131,Positiv
1874696,30,0.7089,208,Positiv
1882695,30,0.7321,282,Positiv
1884790,30,0.8559,249,Positiv
1890596,30,0.84,44,Positiv
1901168,30,0.7185,98,Positiv
1905697,30,0.8206,397,Positiv
1917172,30,0.6034,288,Positiv
1962902,30,0.8105,139,Positiv
1963390,30,0.7996,306,Positiv
1974319,30,0.8583,373,Positiv
1996815,30,0.7895,154,Positiv
1997113,30,0.6993,427,Positiv
2026727,30,0.7374,485,Positiv
2031643,30,0.7324,72,Positiv
2076827,30,0.7339,125,Positiv
2077150,30,0.7778,63,Positiv
2078545,30,0.754,196,Positiv
2090360,9,0.8889,9,Positiv
2094891,3,0.8048,3,Positiv
2132907,30,0.7749,115,Positiv
2150004,30,0.8147,104,Positiv
2155415,30,0.8125,907,Positiv
2187499,30,0.8002,92,Positiv
2246553,30,0.8335,37,Positiv
2252543,30,0.8592,81,Positiv
2255287,30,0.8457,218,Positiv
2300211,30,0.6794,83,Positiv
2302364,24,0.7885,24,Positiv
2302508,29,0.7632,29,Positiv
2312649,30,0.7936,358,Positiv
2321424,30,0.8221,145,Positiv
2327674,30,0.7231,47,Positiv
2330233,30,0.8211,330,Positiv
2342762,30,0.7083,175,Positiv
2352699,30,0.7773,523,Positiv
2369096,30,0.7724,148,Positiv
2371981,30,0.7978,257,Positiv
2377375,30,0.8669,597,Positiv
2388579,30,0.7212,52,Positiv
2425797,30,0.8238,69,Positiv
2450066,16,0.666,16,Positiv
2487771,30,0.761,138,Positiv
2501391,30,0.7287,256,Positiv
2520167,30,0.7126,162,Positiv
2523276,30,0.7889,48,Positiv
2531084,30,0.7673,158,Positiv
2549437,30,0.8236,378,Positiv
2562551,30,0.815,58,Positiv
2570782,30,0.8107,247,Positiv
2571378,30,0.7183,168,Positiv
2583648,30,0.6849,83,Positiv
2613468,30,0.8543,37,Positiv
2616488,30,0.7695,608,Positiv
2620127,30,0.8635,573,Positiv
2630617,30,0.8144,386,Positiv
2660276,30,0.8657,392,Positiv
2667997,30,0.7793,199,Positiv
2684475,30,0.7536,140,Positiv
2691842,30,0.7787,207,Positiv
2724488,30,0.7967,669,Positiv
2745137,30,0.6539,371,Positiv
2756099,30,0.7531,202,Positiv
2757336,30,0.8038,500,Positiv
2776582,30,0.527,163,Positiv
2788770,30,0.7534,65,Positiv
2791372,30,0.6853,806,Positiv
2807243,30,0.7123,265,Positiv
2827817,30,0.6311,642,Positiv
2842226,30,0.5798,241,Positiv
2900232,30,0.7284,531,Positiv
2929258,30,0.8738,504,Positiv
2966587,30,0.8262,352,Positiv
