iter	RMSE
0	112.2183196
1	110.7433771
2	109.356585
3	108.1057416
4	106.8738505
5	105.6099884
6	104.6233848
7	103.4525769
8	102.5164947
9	101.5601552
10	100.6447003
11	99.75318975
12	98.96148007
13	98.0923182
14	97.33809043
15	96.48312734
16	95.76845627
17	95.14082912
18	94.51111162
19	93.97645918
20	93.317067
21	92.74614421
22	92.25062197
23	91.68216196
24	91.24191759
25	90.79144445
26	90.08459203
27	89.63930702
28	89.22553572
29	88.79814696
30	88.3961059
31	87.99239232
32	87.57141697
33	87.20033785
34	86.8159354
35	86.52667107
36	86.24838256
37	85.96400163
38	85.63964632
39	85.31416934
40	85.11022744
41	84.75432734
42	84.50769137
43	84.22963301
44	83.99454744
45	83.80079784
46	83.52206303
47	83.25830481
48	82.98028589
49	82.72659367
50	82.41780479
51	82.23660806
52	82.05852739
53	81.83133355
54	81.64462443
55	81.39012184
56	81.21967305
57	81.01938023
58	80.84067251
59	80.76635809
60	80.61736006
61	80.29217499
62	80.07517054
63	79.88904473
64	79.73237794
65	79.60915343
66	79.41517984
67	79.27032138
68	79.11829303
69	78.91127609
70	78.79226439
71	78.72887957
72	78.4587032
73	78.26146911
74	78.19784
75	77.98342681
76	77.87459182
77	77.74855581
78	77.66435226
79	77.54237649
80	77.38818225
81	77.237278
82	77.13223071
83	76.80752255
84	76.69224584
85	76.58774725
86	76.47301879
87	76.3631396
88	76.28598658
89	76.19035267
90	75.9960831
91	75.75147635
92	75.58825349
93	75.49082104
94	75.43348225
95	75.24198303
96	75.09324307
97	74.94829989
98	74.71368114
99	74.55313534
100	74.41063101
101	74.28364052
102	74.16751743
103	74.10665694
104	73.99131113
105	73.88678563
106	73.7394182
107	73.42177719
108	73.36168094
109	73.27231611
110	73.1855164
111	73.10910955
112	73.06315212
113	73.01151803
114	72.89097858
115	72.82461906
116	72.72209855
117	72.62095049
118	72.55904806
119	72.48149327
120	72.3374549
121	72.32275754
122	72.23465157
123	72.16352238
124	72.08426312
125	71.96598765
126	71.87002114
127	71.8035062
128	71.76390408
129	71.7164103
130	71.69311769
131	71.65169188
132	71.55738504
133	71.51173046
134	71.45418605
135	71.39516287
136	71.29509419
137	71.1983711
138	71.19106357
139	71.03914976
140	70.94315303
141	70.85887097
142	70.80472608
143	70.74992996
144	70.66382181
145	70.56738555
146	70.51560363
147	70.45796031
148	70.37471726
149	70.29252427
150	70.18943138
151	70.10247388
152	70.03705386
153	69.98849126
154	69.8414851
155	69.76267543
156	69.65111724
157	69.58056865
158	69.49088715
159	69.43121244
160	69.38130347
161	69.25445956
162	69.17036142
163	69.0733158
164	69.02519834
165	68.91559096
166	68.78154396
167	68.66735971
168	68.53445334
169	68.45219493
170	68.37535721
171	68.30308211
172	68.24943486
173	68.1448741
174	68.05248779
175	67.99762101
176	67.92340686
177	67.85018067
178	67.76762083
179	67.70247909
180	67.63543658
181	67.57673162
182	67.43340382
183	67.38007031
184	67.23721123
185	67.18297945
186	67.04817011
187	66.98993741
188	66.90250508
189	66.80932609
190	66.74276173
191	66.59732013
192	66.49032488
193	66.38817928
194	66.32457079
195	66.261175
196	66.06322755
197	65.94393214
198	65.87268351
199	65.79576999
200	65.70373937
201	65.63242044
202	65.57857896
203	65.4770175
204	65.42658424
205	65.38999308
206	65.33401778
207	65.1271654
208	65.05070618
209	64.9548341
210	64.91187109
211	64.82309917
212	64.64490867
213	64.59664335
214	64.53477867
215	64.41058946
216	64.3455695
217	64.27745127
218	64.23480775
219	64.16948624
220	64.03527395
221	63.89601244
222	63.78219878
223	63.73052247
224	63.65683721
225	63.49227394
226	63.37606891
227	63.32562842
228	63.04453262
229	62.9680112
230	62.90091935
231	62.81504217
232	62.76558214
233	62.6647608
234	62.60826313
235	62.57554665
236	62.47143819
237	62.40028347
238	62.3650119
239	62.2889084
240	62.21269326
241	62.17352856
242	62.09966125
243	62.04147908
244	61.95855485
245	61.87184212
246	61.72100546
247	61.6551462
248	61.49840369
249	61.32631993
250	61.27518036
251	61.22078242
252	61.18021371
253	61.13195269
254	61.02646043
255	60.96965812
256	60.92319744
257	60.87053736
258	60.82505751
259	60.80047299
260	60.7701758
261	60.72232992
262	60.67435627
263	60.62371716
264	60.59803014
265	60.4849883
266	60.41332471
267	60.35691365
268	60.2989225
269	60.18526487
270	60.13646218
271	60.07795416
272	60.02546766
273	59.95782983
274	59.8918537
275	59.80284979
276	59.77280837
277	59.68454327
278	59.58698501
279	59.51480156
280	59.40977473
281	59.36459252
282	59.32134057
283	59.2703389
284	59.22844744
285	59.18545804
286	59.08899404
287	59.04763875
288	58.89070849
289	58.7957183
290	58.7466821
291	58.6967665
292	58.6470836
293	58.61377672
294	58.55855272
295	58.42518112
296	58.36028649
297	58.33246781
298	58.28818375
299	58.15913294
